Size,InPlaceInsertion,InPlaceSelection,InPlaceHeap
1000,10,7,1
2000,25,45,2
3000,9,4,5
4000,10,7,1
5000,14,11,1
6000,20,16,1
7000,28,20,1
8000,28,27,1
9000,34,34,1
10000,43,41,2
11000,62,55,2
12000,62,61,3
13000,73,71,2
14000,95,84,3
15000,96,89,2
16000,103,102,2
17000,127,127,2
18000,139,135,4
19000,152,144,3
20000,165,169,3
21000,181,178,3
22000,206,206,3
23000,220,210,3
24000,237,232,3
25000,257,248,4
26000,281,265,4
27000,297,291,4
28000,322,310,4
29000,347,339,4
30000,386,362,5
31000,401,393,5
32000,427,419,4
33000,455,551,5
34000,603,536,5
35000,546,513,5
36000,561,577,6
37000,664,604,6
38000,692,624,6
39000,694,660,6
40000,757,780,6
41000,956,770,6
42000,890,820,7
43000,888,789,7
44000,932,830,9
45000,1040,921,8
46000,1021,930,8
47000,1133,1025,8
48000,1557,1097,8
49000,1271,1107,8
50000,1662,1523,8
51000,1462,1564,13
52000,1676,1551,12
53000,1644,1412,9
54000,1526,1581,9
55000,1536,1477,10
56000,1906,1905,11
57000,2373,2098,12
58000,2483,1600,12
59000,1759,1677,10
60000,1891,1727,12
61000,1918,1768,10
62000,2032,2089,15
63000,2125,1784,12
64000,2043,2024,11
65000,2382,1967,10
66000,2215,1923,13
67000,2352,1972,11
68000,2351,2185,12
69000,2535,2151,13
70000,2986,2746,13
71000,3019,2833,13
72000,2992,2568,14
73000,3081,2679,12
74000,2950,2744,12
75000,3275,2979,20
76000,3180,2640,13
77000,3339,3302,23
78000,4148,3855,20
79000,4874,3669,14
80000,4359,3879,15
81000,4297,3591,22
82000,4647,3563,17
83000,4868,4290,19
84000,4952,4173,18
85000,5658,4593,20
86000,5714,4477,17
87000,5400,4034,15
88000,5376,4790,21
89000,5875,4880,17
90000,5458,5003,21
91000,5709,4369,21
92000,4956,4744,19
93000,5763,4897,18
94000,5983,4945,19
95000,5883,5032,29
96000,7361,5541,20
97000,5885,4849,20
98000,6238,5588,18
99000,6681,5384,18
100000,6146,5296,19
